keyword,domain,url,search_engine,llm_model,pre_rank,post_rank,rank_delta,T1_statistical_density_code,T2_question_heading_code,T3_structured_data_code,T4_citation_authority_code,T1_statistical_density_llm,T2_question_heading_llm,T3_structured_data_llm,T4_citation_authority_llm,X1_domain_authority,X1_global_rank,X2_domain_age_years,X3_word_count,X4_lcp_ms,X6_readability,X7_internal_links,X7B_outbound_links,X8_keyword_difficulty,X9_images_with_alt,X10_https
inventory management software,sosinventory.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,9,,2.55,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.38,1712046.0,14.8,1765.0,,13.5,58.0,6.0,3.76,83.0,1.0
inventory management software,extenziv.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,10,,,,,,,,,,0.0,,,,,,,,3.76,,1.0
email marketing software,mailchimp.com,https://mailchimp.com/,searxng,meta-llama/Llama-3.3-70B-Instruct,4.0,1,3.0,1.36,0.0,0.0,0.0,10.22,0.0,0.0,0.0,6.55,227.0,24.6,1469.0,,9.57,279.0,21.0,4.74,113.0,1.0
email marketing software,brevo.com,https://www.brevo.com/blog/best-email-marketing-services/,searxng,meta-llama/Llama-3.3-70B-Instruct,3.0,2,1.0,1.84,1.0,1.0,0.0,15.43,1.0,1.0,0.0,5.49,2359.0,26.4,7627.0,,11.31,150.0,47.0,4.74,56.0,1.0
email marketing software,hubspot.com,https://www.hubspot.com/products/marketing/email,searxng,meta-llama/Llama-3.3-70B-Instruct,12.0,3,9.0,0.29,1.0,1.0,0.0,10.34,0.0,1.0,0.0,6.44,265.0,21.0,1744.0,,12.34,100.0,19.0,4.74,40.0,1.0
email marketing software,benchmarkemail.com,https://www.benchmarkemail.com/,searxng,meta-llama/Llama-3.3-70B-Instruct,8.0,4,4.0,0.41,1.0,1.0,0.0,0.164,1.0,1.0,1.0,5.39,2712.0,23.0,1219.0,,8.68,104.0,21.0,4.74,37.0,1.0
email marketing software,mailerlite.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,5,,3.68,0.0,0.0,0.0,6.25,0.0,0.0,0.0,5.48,2399.0,15.9,544.0,,12.14,205.0,13.0,4.74,0.0,1.0
email marketing software,getresponse.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,6,,14.32,1.0,0.0,0.0,12.5,0.0,0.0,0.0,5.78,1623.0,27.4,454.0,,17.34,99.0,10.0,4.74,13.0,1.0
email marketing software,rapidmail.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,7,,2.89,1.0,1.0,0.0,6.25,1.0,1.0,0.0,3.32,2078795.0,24.6,864.0,,9.9,44.0,2.0,4.74,28.0,1.0
email marketing software,mailingwork.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,8,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,223456936.0,25.2,306.0,,11.36,0.0,2.0,4.74,3.0,1.0
email marketing software,cleverreach.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19,787502.0,19.0,79.0,,,25.0,0.0,4.74,0.0,1.0
email marketing software,zoho.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,10,,,,,,,,,,,,,,,,,,4.74,,
business intelligence software,tableau.com,https://www.tableau.com/,searxng,meta-llama/Llama-3.3-70B-Instruct,11.0,1,10.0,,,,,,,,,5.66,1837.0,29.6,,,,,,5.44,,1.0
business intelligence software,thoughtspot.com,https://www.thoughtspot.com/data-trends/business-intelligence/business-intelligence-tools,searxng,meta-llama/Llama-3.3-70B-Instruct,2.0,2,0.0,0.33,1.0,0.0,0.0,0.075,1.0,0.0,0.0,4.37,99168.0,21.2,3002.0,,14.58,190.0,15.0,5.44,11.0,1.0
business intelligence software,salesforce.com,https://www.salesforce.com/analytics/business-intelligence/,searxng,meta-llama/Llama-3.3-70B-Instruct,6.0,3,3.0,1.06,1.0,1.0,0.0,12.73,1.0,1.0,0.0,6.66,189.0,27.2,945.0,,12.8,513.0,24.0,5.44,42.0,1.0
business intelligence software,sage.com,https://www.sage.com/en-us/business-intelligence/,searxng,meta-llama/Llama-3.3-70B-Instruct,7.0,4,3.0,,,,,,,,,5.57,2079.0,28.9,,,,,,5.44,,1.0
business intelligence software,grow.com,https://www.grow.com/,searxng,meta-llama/Llama-3.3-70B-Instruct,10.0,5,5.0,0.0,1.0,0.0,0.0,10.47,0.0,0.0,0.0,4.55,37946.0,28.7,715.0,,11.53,77.0,26.0,5.44,95.0,1.0
business intelligence software,microsoft.com,https://www.microsoft.com/en-us/power-platform/products/power-bi,searxng,meta-llama/Llama-3.3-70B-Instruct,17.0,6,11.0,1.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.53,65.0,34.8,2475.0,,13.91,265.0,6.0,5.44,62.0,1.0
business intelligence software,zoho.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,7,,,,,,,,,,,,,,,,,,5.44,,
business intelligence software,qlik.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,8,,2.9,1.0,0.0,0.0,12.0,1.0,0.0,0.0,4.83,11985.0,27.9,517.0,,12.59,427.0,13.0,5.44,161.0,1.0
business intelligence software,looker.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,9,,0.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5047.0,28.7,2974.0,,15.01,64.0,801.0,5.44,30.0,1.0
business intelligence software,sisense.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,10,,0.83,0.0,0.0,0.0,12.0,0.0,0.0,0.0,4.65,24749.0,21.3,600.0,,15.6,95.0,4.0,5.44,33.0,1.0
workflow automation software,n8n.io,https://n8n.io/,searxng,meta-llama/Llama-3.3-70B-Instruct,8.0,1,7.0,1.96,0.0,0.0,0.0,6.863,0.0,0.0,1.0,5.13,4659.0,7.2,510.0,,10.65,115.0,25.0,4.27,22.0,1.0
workflow automation software,smartsheet.com,https://www.smartsheet.com/content/best-workflow-automation-software,searxng,meta-llama/Llama-3.3-70B-Instruct,4.0,2,2.0,0.5,1.0,1.0,0.0,10.0,1.0,1.0,0.0,5.32,3045.0,24.8,3981.0,,14.37,151.0,19.0,4.27,12.0,1.0
workflow automation software,wrike.com,https://www.wrike.com/workflow-guide/workflow-management-software/,searxng,meta-llama/Llama-3.3-70B-Instruct,9.0,3,6.0,2.48,1.0,0.0,0.0,12.5,1.0,1.0,0.0,5.07,5419.0,20.3,8078.0,,13.44,317.0,36.0,4.27,12.0,1.0
workflow automation software,flowwright.com,https://www.flowwright.com/business-workflow-automation-software,searxng,meta-llama/Llama-3.3-70B-Instruct,13.0,4,9.0,,,,,,,,,2.95,3542923.0,8.8,,,,,,4.27,,1.0
workflow automation software,unifiplatform.com,https://unifiplatform.com/features/workflows/,searxng,meta-llama/Llama-3.3-70B-Instruct,14.0,5,9.0,0.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,38766514.0,2.3,791.0,,18.71,201.0,20.0,4.27,0.0,1.0
workflow automation software,pipeforce.io,https://pipeforce.io/workflow-automation-software-top-5-deutsche-loesungen/,searxng,meta-llama/Llama-3.3-70B-Instruct,15.0,6,9.0,,,,,,,,,2.14,15086793.0,7.7,,,,,,4.27,,1.0
workflow automation software,cflowapps.com,https://www.cflowapps.com/workflow-automation-tools/,searxng,meta-llama/Llama-3.3-70B-Instruct,16.0,7,9.0,0.96,1.0,0.0,0.0,12.5,1.0,1.0,2.0,4.23,350357.0,8.1,16112.0,,13.14,196.0,20.0,4.27,17.0,1.0
