variant,prompt,augmentation,subset,outcome,treatment,method,learner,n_obs,coef,se,t_stat,p_val,ci_lower,ci_upper,sig_stars,interpretation,error
biased,biased,snippet,POOLED,rank_delta,T4a_ext_citations,plr,lgbm,17878,-0.06606632284013687,0.11892586886756565,-0.55552524836886,0.5785354452695848,-0.29915674265069886,0.16702409697042508,,T4a External Citations (binary) not significantly worsens LLM re-ranking by 0.07 positions (p=0.579),
biased,biased,snippet,POOLED,rank_delta,T4a_ext_citations,plr,rf,17878,-0.08309910804736748,0.10917591441856225,-0.7611487248806486,0.44656824033246345,-0.2970799682869767,0.13088175219224174,,T4a External Citations (binary) not significantly worsens LLM re-ranking by 0.08 positions (p=0.447),
biased,biased,snippet,POOLED,rank_delta,T4b_auth_citations,plr,lgbm,17878,-0.051674024248678715,0.01293984798230137,-3.993402729255898,6.513180467228373e-05,-0.07703566025941269,-0.026312388237944743,***,T4b Authority Citations (count) significantly worsens LLM re-ranking by 0.05 positions (p=0.000),
biased,biased,snippet,POOLED,rank_delta,T4b_auth_citations,plr,rf,17878,-0.04475406527000638,0.012489881411262399,-3.583225796655736,0.00033937699854321866,-0.069233783007257,-0.020274347532755775,***,T4b Authority Citations (count) significantly worsens LLM re-ranking by 0.04 positions (p=0.000),
biased,biased,snippet,POOLED,rank_delta,T5_topical_comp,plr,lgbm,14237,0.23378988881018337,0.2502504420240404,0.9342236797636675,0.3501885233139532,-0.25669196467216465,0.7242717422925313,,T5 Topical Competence (cosine) not significantly improves LLM re-ranking by 0.23 positions (p=0.350),
biased,biased,snippet,POOLED,rank_delta,T5_topical_comp,plr,rf,14237,0.3982712015758446,0.2192664899607191,1.8163797014637013,0.06931214675912525,-0.031483221763678126,0.8280256249153674,*,T5 Topical Competence (cosine) not significantly improves LLM re-ranking by 0.40 positions (p=0.069),
biased,biased,snippet,POOLED,rank_delta,T6_freshness,plr,lgbm,17878,-0.013417050571322222,0.018996986391609554,-0.7062725789627434,0.4800186425647983,-0.05065045971367446,0.023816358571030014,,T6 Freshness (ordinal 0-4) not significantly worsens LLM re-ranking by 0.01 positions (p=0.480),
biased,biased,snippet,POOLED,rank_delta,T6_freshness,plr,rf,17878,-0.03568189399639994,0.017209053991931907,-2.0734372739564084,0.038131603053987446,-0.06941102002859173,-0.0019527679642081588,**,T6 Freshness (ordinal 0-4) significantly worsens LLM re-ranking by 0.04 positions (p=0.038),
biased,biased,snippet,POOLED,rank_delta,T7_source_earned,plr,lgbm,19652,-1.6074719600723493,0.24310981197098044,-6.612122921078274,3.788472053083434e-11,-2.0839584358237757,-1.130985484320923,***,T7 Source: Earned significantly worsens LLM re-ranking by 1.61 positions (p=0.000),
biased,biased,snippet,POOLED,rank_delta,T7_source_earned,plr,rf,19652,-1.6030800926091502,0.22509588113110957,-7.121765554099227,1.0655319568355485e-12,-2.044259912694434,-1.1619002725238663,***,T7 Source: Earned significantly worsens LLM re-ranking by 1.60 positions (p=0.000),
biased,biased,snippet,POOLED,post_rank,T1a_stats_present,plr,lgbm,23019,-0.05502906050685328,0.06055573426609299,-0.908734097171467,0.3634905011616286,-0.17371611872577358,0.06365799771206704,,T1a Stats Present (binary) not significantly improves post_rank by 0.06 positions (p=0.363),
biased,biased,snippet,POOLED,post_rank,T1a_stats_present,plr,rf,23019,-0.0432960561720278,0.055590749672413835,-0.7788356233215702,0.43607655016524227,-0.1522519234035407,0.06565981105948512,,T1a Stats Present (binary) not significantly improves post_rank by 0.04 positions (p=0.436),
biased,biased,snippet,POOLED,post_rank,T1b_stats_density,plr,lgbm,22257,5.640313896698142e-05,0.003810969043627627,0.014800209164987543,0.988191572710681,-0.007412958932740222,0.007525765210674184,,T1b Stats Density (continuous) not significantly worsens post_rank by 0.00 positions (p=0.988),
biased,biased,snippet,POOLED,post_rank,T1b_stats_density,plr,rf,22257,-0.0026627555298565546,0.003424724285726246,-0.7775094599452964,0.4368582554057482,-0.00937509178685966,0.004049580727146549,,T1b Stats Density (continuous) not significantly improves post_rank by 0.00 positions (p=0.437),
biased,biased,snippet,POOLED,post_rank,T2a_question_headings,plr,lgbm,23019,-0.03113158680905983,0.04703258220292696,-0.6619153223341929,0.5080254914171161,-0.12331375402671618,0.06105058040859653,,T2a Question Headings (binary) not significantly improves post_rank by 0.03 positions (p=0.508),
biased,biased,snippet,POOLED,post_rank,T2a_question_headings,plr,rf,23019,-0.01451769897825577,0.042874767272409825,-0.33860706195828144,0.7349057619007939,-0.09855069867771563,0.06951530072120407,,T2a Question Headings (binary) not significantly improves post_rank by 0.01 positions (p=0.735),
biased,biased,snippet,POOLED,post_rank,T2b_structural_modularity,plr,lgbm,23019,-0.0047504378530829105,0.0010996211266262018,-4.3200678288693375,1.5598124924600523e-05,-0.0069056556579096245,-0.002595220048256197,***,T2b Structural Modularity (count) significantly improves post_rank by 0.00 positions (p=0.000),
biased,biased,snippet,POOLED,post_rank,T2b_structural_modularity,plr,rf,23019,-0.0036993503636025323,0.0009683924420001651,-3.820094213004919,0.000133400708901922,-0.005597364672823649,-0.0018013360543814156,***,T2b Structural Modularity (count) significantly improves post_rank by 0.00 positions (p=0.000),
biased,biased,snippet,POOLED,post_rank,T3_structured_data_new,plr,lgbm,23019,0.13335213301764054,0.04207423901403852,3.1694484830289187,0.0015272853037778802,0.050888139873195015,0.21581612616208606,***,T3 Structured Data (expanded) significantly worsens post_rank by 0.13 positions (p=0.002),
biased,biased,snippet,POOLED,post_rank,T3_structured_data_new,plr,rf,23019,0.13409848011583,0.03772129896363486,3.5549804434122847,0.000378007204309231,0.06016609269703761,0.2080308675346224,***,T3 Structured Data (expanded) significantly worsens post_rank by 0.13 positions (p=0.000),
biased,biased,snippet,POOLED,post_rank,T4a_ext_citations,plr,lgbm,23019,0.008431986209449956,0.07514989928689744,0.1122022290044518,0.9106630618420437,-0.1388591098346813,0.15572308225358122,,T4a External Citations (binary) not significantly worsens post_rank by 0.01 positions (p=0.911),
biased,biased,snippet,POOLED,post_rank,T4a_ext_citations,plr,rf,23019,-0.03789721045521529,0.06499314993008792,-0.5830954569209325,0.5598290418930438,-0.16528144355999955,0.08948702264956895,,T4a External Citations (binary) not significantly improves post_rank by 0.04 positions (p=0.560),
biased,biased,snippet,POOLED,post_rank,T4b_auth_citations,plr,lgbm,23019,0.04382356119294753,0.011142062767236078,3.933164092542488,8.383496483878787e-05,0.02198551945568012,0.06566160293021495,***,T4b Authority Citations (count) significantly worsens post_rank by 0.04 positions (p=0.000),
biased,biased,snippet,POOLED,post_rank,T4b_auth_citations,plr,rf,23019,0.03350294817934207,0.010871692682985804,3.0816680673630676,0.0020584423589205523,0.012194822069702259,0.054811074288981874,***,T4b Authority Citations (count) significantly worsens post_rank by 0.03 positions (p=0.002),
biased,biased,snippet,POOLED,post_rank,T5_topical_comp,plr,lgbm,17885,-0.2055800757260819,0.17318844022825153,-1.1870311635992576,0.23521532841235426,-0.5450231811121227,0.13386302965995894,,T5 Topical Competence (cosine) not significantly improves post_rank by 0.21 positions (p=0.235),
biased,biased,snippet,POOLED,post_rank,T5_topical_comp,plr,rf,17885,0.04220109262531364,0.15365018587467802,0.274656957849268,0.783579802413088,-0.25894773790694026,0.3433499231575675,,T5 Topical Competence (cosine) not significantly worsens post_rank by 0.04 positions (p=0.784),
biased,biased,snippet,POOLED,post_rank,T6_freshness,plr,lgbm,23019,0.05028194331905597,0.011800251173685872,4.261090936028791,2.0343143130182502e-05,0.02715387601010516,0.07341001062800678,***,T6 Freshness (ordinal 0-4) significantly worsens post_rank by 0.05 positions (p=0.000),
biased,biased,snippet,POOLED,post_rank,T6_freshness,plr,rf,23019,0.06427559819827289,0.010527741347854364,6.105354992538144,1.02572443458992e-09,0.043641604317925166,0.08490959207862062,***,T6 Freshness (ordinal 0-4) significantly worsens post_rank by 0.06 positions (p=0.000),
biased,biased,snippet,POOLED,post_rank,T7_source_earned,plr,lgbm,25587,1.285215738055297,0.15726959124410167,8.172054927392066,3.031804336909928e-16,0.976973003353522,1.5934584727570722,***,T7 Source: Earned significantly worsens post_rank by 1.29 positions (p=0.000),
biased,biased,snippet,POOLED,post_rank,T7_source_earned,plr,rf,25587,1.2416354461683108,0.14809490448738905,8.384052445734497,5.113599191191703e-17,0.951374767079129,1.5318961252574925,***,T7 Source: Earned significantly worsens post_rank by 1.24 positions (p=0.000),
biased,biased,snippet,by_engine=ddg,rank_delta,T1a_stats_present,plr,lgbm,3313,-0.4072671207528019,0.37306009330277035,-1.0916930758988195,0.2749680296388737,-1.138451467695384,0.32391722618978014,,T1a Stats Present (binary) not significantly worsens LLM re-ranking by 0.41 positions (p=0.275),
biased,biased,snippet,by_engine=ddg,rank_delta,T1a_stats_present,plr,rf,3313,-0.5651825471393367,0.3512608173603247,-1.6090110801045316,0.10761391885795009,-1.253641098345675,0.12327600406700157,,T1a Stats Present (binary) not significantly worsens LLM re-ranking by 0.57 positions (p=0.108),
biased,biased,snippet,by_engine=ddg,rank_delta,T1b_stats_density,plr,lgbm,3247,0.015635902865773207,0.006339730704924244,2.466335494917532,0.013650341374934752,0.0032102590124389596,0.028061546719107454,**,T1b Stats Density (continuous) significantly improves LLM re-ranking by 0.02 positions (p=0.014),
biased,biased,snippet,by_engine=ddg,rank_delta,T1b_stats_density,plr,rf,3247,0.0002924647789633688,0.014205563752213131,0.020588044520077897,0.983574277537035,-0.027549928555462042,0.02813485811338878,,T1b Stats Density (continuous) not significantly improves LLM re-ranking by 0.00 positions (p=0.984),
biased,biased,snippet,by_engine=ddg,rank_delta,T2a_question_headings,plr,lgbm,3313,-0.18067065868688528,0.23226879641754739,-0.7778516162028729,0.4366564946411211,-0.6359091343977441,0.2745678170239735,,T2a Question Headings (binary) not significantly worsens LLM re-ranking by 0.18 positions (p=0.437),
biased,biased,snippet,by_engine=ddg,rank_delta,T2a_question_headings,plr,rf,3313,-0.27487461364513344,0.23134585097841684,-1.1881544989141715,0.2347725463009508,-0.7283041495356009,0.17855492224533404,,T2a Question Headings (binary) not significantly worsens LLM re-ranking by 0.27 positions (p=0.235),
biased,biased,snippet,by_engine=ddg,rank_delta,T2b_structural_modularity,plr,lgbm,3313,0.0030000179871525036,0.005246053760645117,0.5718618458808142,0.5674155742450621,-0.007282058444672833,0.01328209441897784,,T2b Structural Modularity (count) not significantly improves LLM re-ranking by 0.00 positions (p=0.567),
biased,biased,snippet,by_engine=ddg,rank_delta,T2b_structural_modularity,plr,rf,3313,0.0041672663086074055,0.004604935240553515,0.9049565500744151,0.3654884063066226,-0.004858240914016774,0.013192773531231584,,T2b Structural Modularity (count) not significantly improves LLM re-ranking by 0.00 positions (p=0.365),
biased,biased,snippet,by_engine=ddg,rank_delta,T3_structured_data_new,plr,lgbm,3313,-0.19870095339147095,0.22247476857002518,-0.8931392744832937,0.3717825929445311,-0.6347434872576039,0.237341580474662,,T3 Structured Data (expanded) not significantly worsens LLM re-ranking by 0.20 positions (p=0.372),
biased,biased,snippet,by_engine=ddg,rank_delta,T3_structured_data_new,plr,rf,3313,-0.05574249385376796,0.20724861352885954,-0.268964375223701,0.7879570972276019,-0.46194231221619325,0.35045732450865735,,T3 Structured Data (expanded) not significantly worsens LLM re-ranking by 0.06 positions (p=0.788),
biased,biased,snippet,by_engine=ddg,rank_delta,T4a_ext_citations,plr,lgbm,3313,0.027004086541905614,0.36227557960783463,0.07454017897407739,0.9405805718753992,-0.6830430019678235,0.7370511750516349,,T4a External Citations (binary) not significantly improves LLM re-ranking by 0.03 positions (p=0.941),
biased,biased,snippet,by_engine=ddg,rank_delta,T4a_ext_citations,plr,rf,3313,0.27088078005048294,0.3236444414452795,0.8369702839351325,0.40260927164074733,-0.3634506689788471,0.905212229079813,,T4a External Citations (binary) not significantly improves LLM re-ranking by 0.27 positions (p=0.403),
biased,biased,snippet,by_engine=ddg,rank_delta,T4b_auth_citations,plr,lgbm,3313,-0.11979151875335803,0.06504626914226601,-1.8416355055100224,0.06552848386197867,-0.2472798636008985,0.00769682609418243,*,T4b Authority Citations (count) not significantly worsens LLM re-ranking by 0.12 positions (p=0.066),
biased,biased,snippet,by_engine=ddg,rank_delta,T4b_auth_citations,plr,rf,3313,-0.1390266460595472,0.08202322665762912,-1.6949668005607055,0.09008171894044832,-0.29978921620426596,0.021735924085171554,*,T4b Authority Citations (count) not significantly worsens LLM re-ranking by 0.14 positions (p=0.090),
biased,biased,snippet,by_engine=ddg,rank_delta,T5_topical_comp,plr,lgbm,120,7.3430862552732705,5.520956414849556,1.3300388018863516,0.18350548720701187,-3.477789478047235,18.163961988593776,,T5 Topical Competence (cosine) not significantly improves LLM re-ranking by 7.34 positions (p=0.184),
biased,biased,snippet,by_engine=ddg,rank_delta,T5_topical_comp,plr,rf,120,8.09434722889517,3.6616438039946693,2.210577451598281,0.027065111630867687,0.9176572488513779,15.271037208938964,**,T5 Topical Competence (cosine) significantly improves LLM re-ranking by 8.09 positions (p=0.027),
biased,biased,snippet,by_engine=ddg,rank_delta,T6_freshness,plr,lgbm,3313,-0.16877489447268404,0.05819415532412145,-2.9002035261559493,0.0037292043236172995,-0.2828333430186919,-0.05471644592667617,***,T6 Freshness (ordinal 0-4) significantly worsens LLM re-ranking by 0.17 positions (p=0.004),
biased,biased,snippet,by_engine=ddg,rank_delta,T6_freshness,plr,rf,3313,-0.10066749430314542,0.05713938070400455,-1.7617883334197608,0.07810506661810386,-0.21265862258191726,0.011323633975626426,*,T6 Freshness (ordinal 0-4) not significantly worsens LLM re-ranking by 0.10 positions (p=0.078),
biased,biased,snippet,by_engine=ddg,rank_delta,T7_source_earned,plr,lgbm,3816,-2.0563002417342404,0.7012938396033035,-2.932152153079535,0.003366217823425534,-3.4308109099365245,-0.6817895735319561,***,T7 Source: Earned significantly worsens LLM re-ranking by 2.06 positions (p=0.003),
biased,biased,snippet,by_engine=ddg,rank_delta,T7_source_earned,plr,rf,3816,-2.1366155892117336,0.7410810003530184,-2.8831066890042303,0.003937740479728054,-3.5891076595305647,-0.6841235188929025,***,T7 Source: Earned significantly worsens LLM re-ranking by 2.14 positions (p=0.004),
biased,biased,snippet,by_engine=ddg,post_rank,T1a_stats_present,plr,lgbm,4710,-0.025566203569143655,0.15960349071823157,-0.16018574189131576,0.8727347606832963,-0.3383832971837503,0.28725089004546306,,T1a Stats Present (binary) not significantly improves post_rank by 0.03 positions (p=0.873),
biased,biased,snippet,by_engine=ddg,post_rank,T1a_stats_present,plr,rf,4710,0.09058160524117485,0.14240154765129776,0.6360998650308514,0.5247113334919049,-0.18852029949813304,0.36968350998048277,,T1a Stats Present (binary) not significantly worsens post_rank by 0.09 positions (p=0.525),
biased,biased,snippet,by_engine=ddg,post_rank,T1b_stats_density,plr,lgbm,4576,0.010079132623688557,0.005563880093075062,1.811529446192287,0.07005893518280898,-0.0008258719730379303,0.020984137220415044,*,T1b Stats Density (continuous) not significantly worsens post_rank by 0.01 positions (p=0.070),
biased,biased,snippet,by_engine=ddg,post_rank,T1b_stats_density,plr,rf,4576,0.002230238731473574,0.006831987198865678,0.32644070700891575,0.7440909430974868,-0.011160210121141843,0.01562068758408899,,T1b Stats Density (continuous) not significantly worsens post_rank by 0.00 positions (p=0.744),
biased,biased,snippet,by_engine=ddg,post_rank,T2a_question_headings,plr,lgbm,4710,-0.138820095438245,0.11846862400123678,-1.171787860360358,0.24128223777277236,-0.37101433177868653,0.09337414090219653,,T2a Question Headings (binary) not significantly improves post_rank by 0.14 positions (p=0.241),
biased,biased,snippet,by_engine=ddg,post_rank,T2a_question_headings,plr,rf,4710,-0.16591241603892562,0.10183567252549396,-1.629217070250019,0.10326707453159423,-0.36550666653030883,0.03368183445245762,,T2a Question Headings (binary) not significantly improves post_rank by 0.17 positions (p=0.103),
biased,biased,snippet,by_engine=ddg,post_rank,T2b_structural_modularity,plr,lgbm,4710,-0.004622007134947665,0.00262708268218736,-1.7593687348657379,0.07851489877018605,-0.009770994576443776,0.0005269803065484462,*,T2b Structural Modularity (count) not significantly improves post_rank by 0.00 positions (p=0.079),
biased,biased,snippet,by_engine=ddg,post_rank,T2b_structural_modularity,plr,rf,4710,-0.003089396116027901,0.002237971615884754,-1.3804447268677924,0.16744975696571096,-0.007475739881584927,0.0012969476495291246,,T2b Structural Modularity (count) not significantly improves post_rank by 0.00 positions (p=0.167),
biased,biased,snippet,by_engine=ddg,post_rank,T3_structured_data_new,plr,lgbm,4710,0.19848796179130818,0.10597727264629844,1.8729295143664082,0.06107811893554116,-0.009223675775218626,0.406199599357835,*,T3 Structured Data (expanded) not significantly worsens post_rank by 0.20 positions (p=0.061),
biased,biased,snippet,by_engine=ddg,post_rank,T3_structured_data_new,plr,rf,4710,0.17126612395810997,0.09245115820617257,1.8525038223553079,0.06395350919122832,-0.009934816455002937,0.3524670643712229,*,T3 Structured Data (expanded) not significantly worsens post_rank by 0.17 positions (p=0.064),
biased,biased,snippet,by_engine=ddg,post_rank,T4a_ext_citations,plr,lgbm,4710,0.02819294788852618,0.17135829180134168,0.1645263126292756,0.8693168344961014,-0.30766313249440874,0.3640490282714611,,T4a External Citations (binary) not significantly worsens post_rank by 0.03 positions (p=0.869),
biased,biased,snippet,by_engine=ddg,post_rank,T4a_ext_citations,plr,rf,4710,-0.0200565639867499,0.14815389267188825,-0.1353765576120807,0.8923141578102626,-0.31043285779306345,0.2703197298195637,,T4a External Citations (binary) not significantly improves post_rank by 0.02 positions (p=0.892),
biased,biased,snippet,by_engine=ddg,post_rank,T4b_auth_citations,plr,lgbm,4710,0.0601720606839385,0.03398890032330325,1.7703444392604761,0.07666977932724106,-0.006444959823857677,0.12678908119173468,*,T4b Authority Citations (count) not significantly worsens post_rank by 0.06 positions (p=0.077),
biased,biased,snippet,by_engine=ddg,post_rank,T4b_auth_citations,plr,rf,4710,0.06311356389161794,0.039191670922115805,1.6103820635012285,0.10731447384202986,-0.013700699609674696,0.1399278273929106,,T4b Authority Citations (count) not significantly worsens post_rank by 0.06 positions (p=0.107),
biased,biased,snippet,by_engine=ddg,post_rank,T5_topical_comp,plr,lgbm,204,-0.675034131391742,2.310747269023378,-0.29212806629304844,0.7701887083597253,-5.20401555605185,3.853947293268366,,T5 Topical Competence (cosine) not significantly improves post_rank by 0.68 positions (p=0.770),
biased,biased,snippet,by_engine=ddg,post_rank,T5_topical_comp,plr,rf,204,1.1283004178699727,2.250410857978821,0.5013752994790214,0.6161070201165708,-3.282423814186399,5.539024649926344,,T5 Topical Competence (cosine) not significantly worsens post_rank by 1.13 positions (p=0.616),
biased,biased,snippet,by_engine=ddg,post_rank,T6_freshness,plr,lgbm,4710,0.005187696727514866,0.02846420213528737,0.18225336873516734,0.8553838920692803,-0.05060111430631648,0.060976507761346214,,T6 Freshness (ordinal 0-4) not significantly worsens post_rank by 0.01 positions (p=0.855),
biased,biased,snippet,by_engine=ddg,post_rank,T6_freshness,plr,rf,4710,0.020428412701269508,0.025491417822353344,0.8013839341394301,0.4229094130701174,-0.02953384814540551,0.07039067354794452,,T6 Freshness (ordinal 0-4) not significantly worsens post_rank by 0.02 positions (p=0.423),
biased,biased,snippet,by_engine=ddg,post_rank,T7_source_earned,plr,lgbm,5526,1.6972601189819994,0.3475936462718789,4.882885913439412,1.045443639289961e-06,1.0159890910341616,2.378531146929837,***,T7 Source: Earned significantly worsens post_rank by 1.70 positions (p=0.000),
biased,biased,snippet,by_engine=ddg,post_rank,T7_source_earned,plr,rf,5526,1.687431485845042,0.3399824943896364,4.9632893272180185,6.930921469281516e-07,1.021078041467264,2.35378493022282,***,T7 Source: Earned significantly worsens post_rank by 1.69 positions (p=0.000),
biased,biased,snippet,by_engine=searxng,rank_delta,T1a_stats_present,plr,lgbm,14565,-0.02466314517806196,0.09372062636345466,-0.26315600028553676,0.7924303425150825,-0.20835219745896819,0.15902590710284428,,T1a Stats Present (binary) not significantly worsens LLM re-ranking by 0.02 positions (p=0.792),
biased,biased,snippet,by_engine=searxng,rank_delta,T1a_stats_present,plr,rf,14565,-0.05492698672640441,0.08679203650021282,-0.6328574480018075,0.5268267375772807,-0.22503625241170735,0.11518227895889852,,T1a Stats Present (binary) not significantly worsens LLM re-ranking by 0.05 positions (p=0.527),
biased,biased,snippet,by_engine=searxng,rank_delta,T1b_stats_density,plr,lgbm,14117,-0.004892417538871735,0.007676531087952545,-0.6373213998377256,0.5239155144854681,-0.0199381419974608,0.010153306919717331,,T1b Stats Density (continuous) not significantly worsens LLM re-ranking by 0.00 positions (p=0.524),
biased,biased,snippet,by_engine=searxng,rank_delta,T1b_stats_density,plr,rf,14117,-0.011287040647525394,0.006586334064337029,-1.7137060673313314,0.08658272204534928,-0.024196018203775288,0.0016219369087244976,*,T1b Stats Density (continuous) not significantly worsens LLM re-ranking by 0.01 positions (p=0.087),
biased,biased,snippet,by_engine=searxng,rank_delta,T2a_question_headings,plr,lgbm,14565,0.1689741735061019,0.07503302895739705,2.2519972318063237,0.024322446950188842,0.021912139098652694,0.3160362079135511,**,T2a Question Headings (binary) significantly improves LLM re-ranking by 0.17 positions (p=0.024),
biased,biased,snippet,by_engine=searxng,rank_delta,T2a_question_headings,plr,rf,14565,0.19378633697649447,0.06763964781616148,2.8649814603291315,0.0041703365740445725,0.06121506332984464,0.3263576106231443,***,T2a Question Headings (binary) significantly improves LLM re-ranking by 0.19 positions (p=0.004),
biased,biased,snippet,by_engine=searxng,rank_delta,T2b_structural_modularity,plr,lgbm,14565,0.005397137222817572,0.0016095609290629012,3.353173604903436,0.000798905792912635,0.002242455770931457,0.008551818674703688,***,T2b Structural Modularity (count) significantly improves LLM re-ranking by 0.01 positions (p=0.001),
biased,biased,snippet,by_engine=searxng,rank_delta,T2b_structural_modularity,plr,rf,14565,0.004886387242700606,0.0014873675697834174,3.285258695947052,0.0010188877497961906,0.001971200374152243,0.007801574111248969,***,T2b Structural Modularity (count) significantly improves LLM re-ranking by 0.00 positions (p=0.001),
biased,biased,snippet,by_engine=searxng,rank_delta,T3_structured_data_new,plr,lgbm,14565,0.021902947921101222,0.06555902139016939,0.33409510173660983,0.7383077961727557,-0.1065903728653218,0.15039626870752426,,T3 Structured Data (expanded) not significantly improves LLM re-ranking by 0.02 positions (p=0.738),
biased,biased,snippet,by_engine=searxng,rank_delta,T3_structured_data_new,plr,rf,14565,0.04852535834523813,0.05884496615425578,0.8246305761827459,0.409581356785392,-0.06680865598858166,0.16385937267905792,,T3 Structured Data (expanded) not significantly improves LLM re-ranking by 0.05 positions (p=0.410),
biased,biased,snippet,by_engine=searxng,rank_delta,T4a_ext_citations,plr,lgbm,14565,-0.09693189756891643,0.11781409822893048,-0.8227529559371002,0.4106484941313103,-0.32784328696868437,0.13397949183085148,,T4a External Citations (binary) not significantly worsens LLM re-ranking by 0.10 positions (p=0.411),
biased,biased,snippet,by_engine=searxng,rank_delta,T4a_ext_citations,plr,rf,14565,-0.027443957707663884,0.10351653219433063,-0.26511666422657587,0.790919590335981,-0.23033263261303294,0.17544471719770516,,T4a External Citations (binary) not significantly worsens LLM re-ranking by 0.03 positions (p=0.791),
biased,biased,snippet,by_engine=searxng,rank_delta,T4b_auth_citations,plr,lgbm,14565,-0.04734039373839692,0.015213787904890003,-3.1116769889490055,0.001860279238124439,-0.07715887010041242,-0.01752191737638143,***,T4b Authority Citations (count) significantly worsens LLM re-ranking by 0.05 positions (p=0.002),
biased,biased,snippet,by_engine=searxng,rank_delta,T4b_auth_citations,plr,rf,14565,-0.04763523050058726,0.014358293972939978,-3.317610754478344,0.0009079091245554727,-0.07577696956698815,-0.019493491434186376,***,T4b Authority Citations (count) significantly worsens LLM re-ranking by 0.05 positions (p=0.001),
biased,biased,snippet,by_engine=searxng,rank_delta,T5_topical_comp,plr,lgbm,14117,0.2812106931957815,0.2491797176949486,1.1285456769802025,0.25908953777649035,-0.2071725791641757,0.7695939655557387,,T5 Topical Competence (cosine) not significantly improves LLM re-ranking by 0.28 positions (p=0.259),
biased,biased,snippet,by_engine=searxng,rank_delta,T5_topical_comp,plr,rf,14117,0.38851061856712593,0.21956028294362506,1.769494069502912,0.07681145959620894,-0.041819628437803125,0.8188408655720549,*,T5 Topical Competence (cosine) not significantly improves LLM re-ranking by 0.39 positions (p=0.077),
biased,biased,snippet,by_engine=searxng,rank_delta,T6_freshness,plr,lgbm,14565,0.0029053242903715856,0.01861435552267901,0.15607976794210526,0.8759701457502447,-0.033578142129503524,0.0393887907102467,,T6 Freshness (ordinal 0-4) not significantly improves LLM re-ranking by 0.00 positions (p=0.876),
biased,biased,snippet,by_engine=searxng,rank_delta,T6_freshness,plr,rf,14565,-0.016967050790050373,0.01655517423296805,-1.0248790227928928,0.30542027374616976,-0.049414596044453266,0.015480494464352516,,T6 Freshness (ordinal 0-4) not significantly worsens LLM re-ranking by 0.02 positions (p=0.305),
